retailer_id,name,email,phone,address,created_at,region
9001d099-0661-4b2f-b747-234abd5e9bdd,Aaron Lee,joannekemp@peters-cross.com,(061)494-7137,"762 Kevin Springs, Sydneyberg, MI 38238",2024-10-07 12:38:57,us-east
69ae0294-0f3f-4a6b-92c8-cd3cff60de6e,Cory Graves,cynthia80@hoffman.com,7998195021,"50200 John Club Apt. 580, Lake Martin, WY 39582",2024-05-10 08:15:46,us-west
9b9bd5d2-33d5-4211-9c5b-264ba46a4430,Colin Perry,alisha44@yahoo.com,369.759.4438x17041,"510 Anthony Heights Suite 222, West Ashleyshire, AZ 81428",2024-02-21 16:07:23,us-west
6b9246df-5481-47ad-a3d2-a34bd2e0599b,Tara Sutton,umartinez@smith-newman.com,001-236-885-5599,"7229 Norris Village, South Edwinville, NJ 03013",2024-02-16 22:46:04,us-east
0506dfa5-7008-403e-9834-0f4b0f40c7a2,Chad Lara,kimberly67@gmail.com,(791)647-1922x67407,"720 Holly Extensions, West Erin, FL 65218",2024-04-25 23:01:39,us-west
88a4ca08-793a-49e6-9ca3-465cc6880377,Carl Taylor,blackjim@gmail.com,7469609405,"6225 Williams Summit Apt. 974, Carlfurt, KS 27216",2024-02-26 08:19:01,us-west
b832d1c0-aefe-46be-ae1f-efb5dd944bcb,Carrie Moreno,nicholasruiz@cardenas.com,+1-789-237-7906,"USNS Meyer, FPO AE 54915",2024-05-09 01:19:45,us-east
9586af6d-e2e0-4996-91e1-1aba8aed3720,Alyssa Martin,carrillowilliam@gmail.com,(262)922-4933,"60732 Smith Fields, South Troychester, MN 47569",2024-11-13 21:39:29,us-west
68b6a557-bf02-42e6-a524-a8d47f7c80f9,Kayla Buchanan,anthony89@gmail.com,(609)839-3071,"141 Roy Via, Lake Nicoleland, VT 68436",2024-09-06 00:26:41,us-west
20bd05a1-06c8-4f98-9b0e-f6d705977188,Shelby Morgan,mitchellshirley@yahoo.com,697-947-9283,"18194 Lee Road Suite 627, Smithstad, AZ 95902",2024-11-15 14:43:04,us-east
b515229c-621f-4be6-88e2-31e8111c0028,Aaron Thompson,andrew20@yahoo.com,905.327.7330,"839 Matthews Corner Apt. 351, South Nancy, NH 08697",2024-09-25 03:53:39,us-west
bdb6b570-8f3e-492e-9624-3460405fa108,Dennis Villegas,cassandrajordan@yahoo.com,(455)714-9733x43947,"09216 Laura Ridges Suite 562, New Sarah, DC 59688",2024-05-27 23:49:27,us-west
b4d4992c-8f0c-4f96-93b9-8b65d1547a58,Robert Diaz,hturner@gmail.com,4846382089,"083 Jonathan Islands, West Emilytown, NE 75142",2024-03-27 03:04:03,us-east
2e9e851d-613d-450a-a80c-6c381a7d7080,Stephanie Gomez,xmcfarland@jackson-gill.com,091.753.3392,"590 Matthew Trail Apt. 630, Marshallshire, GA 85213",2024-07-06 14:08:36,us-west
c3e1a48d-8a08-455e-806a-33b57dcf34a9,Aaron Hanson,ariana72@lewis.com,326.501.1827,"223 Albert Via Apt. 632, Juliashire, AR 18010",2024-10-21 14:01:20,us-west
6159e0d9-aa82-419f-8639-b4f3fbfa7365,Ryan Martinez,cynthia60@price-trujillo.com,(310)169-0569x207,"6618 Munoz Pass, Joshuafort, AK 78764",2024-11-06 07:34:40,us-east
0f0b6a3d-2b8b-48e8-95b7-43d2af2f738f,Tanya Long,duanefowler@yahoo.com,928.561.0732,"8610 Manning Pike, Jasonview, MN 35901",2024-09-03 15:46:56,us-west
96027897-a410-4f9b-b99b-04a6865220d9,Gabrielle Mcdonald,njohnson@gmail.com,(103)918-3159x39675,"4664 Sanchez Plaza, Pamelaborough, MT 51454",2024-08-24 17:33:50,us-west
fcbaddef-b942-4ca4-ac0e-50697a0e1872,Casey Howard,lhutchinson@gmail.com,128.119.8374,"16934 Katherine Trail Apt. 908, Veronicatown, GA 47947",2024-04-13 01:04:02,us-east
765e76e8-d1a8-4c1c-a33f-cd243e34060c,Dustin Smith,jessica59@hotmail.com,(772)101-6743x16211,"7891 Sara Key, South Zachary, NV 63674",2024-11-12 05:57:40,us-west
ab2ade61-d2af-4e20-b562-f7cce08ea648,Michael Andrews,williamkim@hotmail.com,001-949-390-6484x2927,"277 Amber Roads Apt. 021, East Thomastown, MS 67050",2024-04-21 07:49:57,us-west
7e055950-3334-44ac-af2d-4e6d1ead65d4,Mandy Hood,cholland@ruiz-hanson.com,4562900400,"718 Jordan Cliffs, Hendersonville, MT 75526",2024-08-10 22:54:24,us-east
7d6c676c-df06-4f9c-9239-06955b5730ed,Lisa Richard,alidominique@hotmail.com,+1-453-373-8772x264,"92165 Alexander Run, Martinezborough, SD 39210",2024-04-20 23:58:30,us-west
993ccf2a-5ebb-4bac-8db2-320d0ecc3be3,Erica Kelley,raymond36@hutchinson.net,+1-012-646-3465x534,"7325 Alyssa Junctions, West David, CA 63908",2024-07-08 15:22:39,us-west
541c9c43-3a3d-4370-a4c9-be6b528776d1,Caitlyn Decker,hallkimberly@hotmail.com,091.641.7569x65971,"USCGC Flores, FPO AP 31182",2024-03-08 06:29:36,us-east
d92700a9-7ca2-4e3f-ad44-110068de33a2,Robert Perry,scottcrosby@fernandez-meyer.com,013-897-4914x17035,"4280 Ethan Hill, Harrytown, IA 20127",2024-09-03 11:36:56,us-west
2e18a026-9d4c-48ad-9e40-f5f441dfc56c,Timothy Arnold,downsbryan@yahoo.com,995.011.3440x518,"PSC 4282, Box 8239, APO AA 15847",2024-10-27 11:28:57,us-west
b9156e89-4c0a-4232-94d2-8856cfa7f497,Larry Williams,angelacoleman@hotmail.com,910.440.0232x8178,"30704 Chapman Pike, Lake Jonathanberg, MN 13047",2024-11-20 20:25:12,us-east
bc21696f-e5bb-435b-81a2-48dfc8ac1d6e,Jason Atkins,archermartin@hotmail.com,771.144.1151x3495,"8216 Laura Drives Apt. 767, Bradleyborough, NY 67778",2024-06-23 05:56:53,us-west
b7850f31-ef09-482c-bd2f-52d8de64f80a,Lisa Graves,rebecca68@yahoo.com,(792)202-0838,"502 Rodriguez Trail Apt. 462, Williamton, MN 61785",2024-05-12 20:21:07,us-west
8ddf3808-b2a8-4164-8d97-074012c7a765,Lauren Lee,kimberly09@yahoo.com,+1-733-042-7973x724,"2762 Timothy Vista Apt. 527, Robertmouth, AR 11815",2024-10-31 09:16:12,us-east
005569d0-158c-4e87-aeb8-5362b20f6c8c,Lisa Baker,ndavis@smith-waters.com,5444764399,"0750 Nichols Ways Apt. 654, Riddlehaven, ID 40477",2024-03-11 19:42:14,us-west
57e2f4e2-225e-43c3-b8a6-9647caf391d8,Devin Carroll,srobertson@gmail.com,(826)299-4223x85710,"1778 Brown Harbor, South Travis, MA 05699",2024-06-19 22:50:08,us-west
4f519ecc-6db9-45c7-a982-7c961fe0cde5,Richard Lambert,diane87@gomez.com,001-795-321-3015x04294,"7165 Garner Villages, Brownchester, TX 11769",2024-01-07 09:41:32,us-east
bc0cf17e-ad8b-41ed-8900-888849e7dbd4,Adrienne Patrick,crawfordpaul@yahoo.com,(608)391-1355x212,"2183 Kerry Prairie, Markshire, FL 28501",2024-01-02 17:17:58,us-west
6c8c8fcc-3adb-43ee-a483-20c8588f1106,Robert Rivera,cassandraholder@brown.com,643-307-0936x726,"99374 Amanda Freeway, Lake Justin, DE 60846",2024-01-07 14:16:01,us-west
0fe91d32-046a-4efa-9ce4-1566d1710b62,Xavier Carson,amanda76@gmail.com,001-836-391-3974x172,"503 Allen Greens Apt. 451, New Eric, WA 29922",2024-02-08 06:44:54,us-east
3f1a2162-a10c-46ef-8d95-ba135de93a68,Russell Graves,hflynn@gmail.com,651-124-3047x943,"322 Cameron Stravenue Suite 618, Port Robert, MA 21297",2024-01-13 23:23:41,us-west
dfe6b029-ab7e-4178-bc7a-8c9868f4daa8,Michael Bryan,jessicasmith@ramirez.com,890.726.7659,"66825 Juan Vista Suite 574, Port Brendanport, AZ 36949",2024-05-27 21:58:27,us-west
af3ac0ff-6143-4a36-a259-e51f159f0e55,Brenda Mcconnell,craneamber@poole.com,+1-989-438-6984x816,"2483 Reeves Crescent Apt. 109, Sarahburgh, VA 40215",2024-04-17 10:47:57,us-east
fa9bd47a-ca08-449b-ba7f-5449382e5a78,Kenneth Taylor,piercestephanie@ochoa.com,645-517-6676x754,"194 Sanders Isle Apt. 997, Jamesmouth, NM 58744",2024-08-25 06:41:50,us-west
e1714892-0872-4b4c-95c8-c5a91e8ac575,Maria Blake,hawkinsstephanie@mcintyre-williams.org,(983)302-3716x668,"468 Samuel Bypass Suite 702, New David, CA 05676",2024-03-15 08:31:12,us-west
f931780c-2d28-4c35-8f4c-f52247ef0bcb,Teresa Ramos,simpsonmichael@hotmail.com,(618)903-5197x36742,"PSC 5416, Box 8874, APO AP 04630",2024-01-08 16:49:23,us-east
43c5497a-6499-417d-9dcf-db3c261ed390,Cassandra Morgan,ashleyrowe@gmail.com,6472577836,"46165 Nicholas Green Apt. 493, West Richardchester, MO 68303",2024-01-15 14:24:25,us-west
d4e6c08e-84cf-4b04-b70b-8be8084cb408,Dr. Donna Wise,russellmurphy@ashley.com,519.237.7429x329,"USNV Young, FPO AA 29080",2024-02-12 23:40:28,us-west
af45124d-a14f-41b7-9731-32a92497155a,Deborah Kelley,lindavaldez@gmail.com,001-746-495-7151x99461,"5071 Jon Rest, Rodgershaven, FL 59960",2024-08-27 02:14:36,us-east
d1b5d797-0735-425b-aa99-955f5b62f849,Daniel Frye,emilymckinney@gmail.com,937.916.8330x9892,"875 Laura Key Apt. 946, South Jessicafort, IA 19193",2024-06-01 03:35:58,us-west
aab94eda-0f82-4ddc-86df-5ce0e3e074d7,John Keller,pamelabaldwin@rodriguez.com,372-650-7431x3764,"113 Zamora Grove Suite 830, South Mary, RI 68159",2024-03-02 04:31:01,us-west
f3f60900-2e0a-44cd-baba-54479f84f3ea,Jacob Bruce,mnelson@russo.com,025-545-5686,"PSC 1708, Box 8337, APO AP 33923",2024-06-10 04:24:25,us-east
3de74427-6f74-4e7c-9747-8a74814a998d,James Carroll,mercerdana@yahoo.com,+1-884-893-7663x30679,"271 Andrew Manors Suite 571, Christopherbury, MA 52322",2024-06-19 00:42:52,us-west
c305db9e-488a-4359-96df-08f73e6dce8f,Robert Williams,cwilson@gmail.com,001-666-347-1959x36335,"23518 Peterson Estates, Goodwinland, WV 50979",2024-11-07 21:27:47,us-west
1f01ecaf-7f45-407c-83e2-e32b61a9202e,Alfred Bell,gvargas@gmail.com,221-612-7211x5766,"8891 Carolyn Center, New Sarah, MI 45346",2024-10-24 07:43:29,us-east
3f9e38a4-f202-4c19-95f2-c09fb20c37fe,James Cobb,carrerin@atkins.org,(126)823-7378x4099,"88871 Rose Estate, West Jared, LA 99421",2024-09-05 01:04:30,us-west
3b5a92ac-6e88-40da-bcff-ae215e289fee,Christopher Larson,brianmccann@gmail.com,001-590-966-8414x40036,"2012 Barbara Stravenue Apt. 521, New Scott, UT 50131",2024-04-30 14:03:28,us-west
b8f7a36d-39e8-4069-9bbf-a1650d105575,Wayne Cantrell,ronaldwilliams@blackburn.com,025-785-8377x62221,"USNV Lambert, FPO AE 66100",2024-05-09 11:29:41,us-east
3a15e744-909d-4dcd-915b-d2b57d0bcec3,Sarah Waters,john84@evans.net,363-141-9711x000,"851 Knight Ramp Suite 866, Amandaland, GA 92896",2024-06-01 01:45:42,us-west
